,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
1327,1327,1327,2020-05-28 10:03:00-04:00,180.8999938964844,180.9600067138672,180.8300018310547,180.91000366210938,53998,181.026,180.784,0.10499633789061136,181.418
1328,1328,1328,2020-05-28 10:04:00-04:00,180.9199981689453,180.97999572753903,180.75999450683602,180.76010131835938,45836,180.947,180.73,0.2088986816406191,181.354
1329,1329,1329,2020-05-28 10:05:00-04:00,180.75999450683602,180.8000030517578,180.66000366210938,180.6699981689453,52125,180.878,180.766,0.24400183105467477,181.299
1330,1330,1330,2020-05-28 10:06:00-04:00,180.6699981689453,181.2700042724609,180.6699981689453,181.22149658203125,85687,180.874,180.89,-0.25149658203125114,181.261
1331,1331,1331,2020-05-28 10:07:00-04:00,181.2200927734375,181.47000122070312,181.2200927734375,181.42999267578125,90449,180.907,180.998,-0.37599267578124795,181.223
1332,1332,1332,2020-05-28 10:08:00-04:00,181.43499755859366,181.5749969482422,181.41000366210938,181.5200042724609,79372,180.952,181.12,-0.3810042724608991,181.2
1333,1333,1333,2020-05-28 10:09:00-04:00,181.52110290527344,181.58999633789062,181.47000122070312,181.5200042724609,52607,181.001,181.272,-0.31200427246091067,181.186
1334,1334,1334,2020-05-28 10:10:00-04:00,181.5200042724609,181.72000122070312,181.4600067138672,181.6100006103516,63388,181.113,181.46,-0.329000610351585,181.19
1335,1335,1335,2020-05-28 10:11:00-04:00,181.6100006103516,181.6499938964844,181.5200042724609,181.6100006103516,57532,181.214,181.538,-0.26900061035158274,181.19
1336,1336,1336,2020-05-28 10:12:00-04:00,181.6000061035156,181.6322021484375,181.5399932861328,181.5800018310547,93732,181.283,181.568,-0.19600183105470137,181.186
1337,1337,1337,2020-05-28 10:13:00-04:00,181.58999633789062,181.7899932861328,181.5500030517578,181.72999572753903,78890,181.365,181.61,-0.28299572753903135,181.196
1338,1338,1338,2020-05-28 10:14:00-04:00,181.72999572753903,181.8699951171875,181.7100067138672,181.75,78989,181.464,181.656,-0.24799999999999045,181.206
1339,1339,1339,2020-05-28 10:15:00-04:00,181.75,182.0249938964844,181.69000244140625,182.0200042724609,134367,181.599,181.738,-0.42400427246090544,181.239
1340,1340,1340,2020-05-28 10:16:00-04:00,182.00999450683602,182.0200042724609,181.80999755859366,181.8800048828125,58067,181.665,181.792,-0.23200488281250387,181.27
1341,1341,1341,2020-05-28 10:17:00-04:00,181.8800048828125,181.91000366210938,181.4600067138672,181.5,73811,181.672,181.776,0.12100000000000932,181.29
1342,1342,1342,2020-05-28 10:18:00-04:00,181.5,181.5749969482422,181.3800048828125,181.4001007080078,78015,181.66,181.71,0.18089929199217636,181.306
1343,1343,1343,2020-05-28 10:19:00-04:00,181.40989685058602,181.6098937988281,181.38999938964844,181.6098937988281,63102,181.669,181.682,-0.023893798828083845,181.335
1344,1344,1344,2020-05-28 10:20:00-04:00,181.5800018310547,181.72999572753903,181.52999877929688,181.6499938964844,61540,181.673,181.608,-0.051993896484390234,181.393
1345,1345,1345,2020-05-28 10:21:00-04:00,181.6490020751953,181.6999969482422,181.57000732421875,181.6100006103516,49660,181.673,181.554,-0.010000610351596606,181.443
1346,1346,1346,2020-05-28 10:22:00-04:00,181.6199951171875,181.66000366210938,181.5500030517578,181.66000366210938,54790,181.681,181.586,-0.049003662109385004,181.482
1347,1347,1347,2020-05-28 10:23:00-04:00,181.66000366210938,181.8300018310547,181.66000366210938,181.80999755859366,53880,181.689,181.668,-0.16299755859367338,181.527
1348,1348,1348,2020-05-28 10:24:00-04:00,181.80999755859366,181.80999755859366,181.5500030517578,181.58999633789062,57241,181.673,181.664,0.047003662109375455,181.569
1349,1349,1349,2020-05-28 10:25:00-04:00,181.6000061035156,181.66000366210938,181.51199340820312,181.63999938964844,54144,181.635,181.662,-0.0029993896484370453,181.617
1350,1350,1350,2020-05-28 10:26:00-04:00,181.63999938964844,181.91000366210938,181.6199951171875,181.8600006103516,66415,181.633,181.712,-0.18200061035159365,181.649
1351,1351,1351,2020-05-28 10:27:00-04:00,181.8500061035156,181.9550018310547,181.80270385742188,181.83999633789062,64504,181.667,181.748,-0.13299633789063137,181.669
1352,1352,1352,2020-05-28 10:28:00-04:00,181.83999633789062,181.8500061035156,181.69000244140625,181.7100067138672,43515,181.698,181.728,-0.0020067138671890916,181.679
1353,1353,1353,2020-05-28 10:29:00-04:00,181.69000244140625,181.80999755859366,181.66000366210938,181.80999755859366,46674,181.718,181.772,-0.08399755859366564,181.693
1354,1354,1354,2020-05-28 10:30:00-04:00,181.80999755859366,181.8999938964844,181.5399932861328,181.5576934814453,61585,181.709,181.756,0.13830651855468545,181.691
1355,1355,1355,2020-05-28 10:31:00-04:00,181.5406951904297,181.72000122070312,181.4499969482422,181.7100067138672,72833,181.719,181.726,-0.012006713867179997,181.696
1356,1356,1356,2020-05-28 10:32:00-04:00,181.7100067138672,181.77999877929688,181.5800018310547,181.5800018310547,27740,181.711,181.674,0.096998168945305,181.696
1357,1357,1357,2020-05-28 10:33:00-04:00,181.5800018310547,181.70199584960938,181.47000122070312,181.70199584960938,41519,181.7,181.672,-0.020995849609363404,181.694
1358,1358,1358,2020-05-28 10:34:00-04:00,181.6999969482422,181.7700042724609,181.5200042724609,181.72000122070312,64299,181.713,181.654,-0.03200122070313682,181.693
1359,1359,1359,2020-05-28 10:35:00-04:00,181.7100067138672,181.88999938964844,181.6699981689453,181.7700042724609,58483,181.726,181.696,-0.06700427246090612,181.68
1360,1360,1360,2020-05-28 10:36:00-04:00,181.7700042724609,181.7700042724609,181.6300048828125,181.72999572753903,35561,181.713,181.7,-0.02199572753903567,181.673
1361,1361,1361,2020-05-28 10:37:00-04:00,181.71499633789062,182.0,181.71499633789062,181.8500061035156,82094,181.714,181.754,-0.11600610351558771,181.69
1362,1362,1362,2020-05-28 10:38:00-04:00,181.84829711914062,182.0200042724609,181.84500122070312,182.0,61255,181.743,181.814,-0.2179999999999893,181.72
1363,1363,1363,2020-05-28 10:39:00-04:00,181.9949951171875,182.0,181.8500061035156,181.98570251464844,73199,181.761,181.867,-0.1667025146484491,181.739
1364,1364,1364,2020-05-28 10:40:00-04:00,181.97000122070312,182.18499755859366,181.92999267578125,182.1699981689453,91823,181.822,181.947,-0.2869981689453027,181.765
1365,1365,1365,2020-05-28 10:41:00-04:00,182.1786956787109,182.1786956787109,182.0814971923828,182.0814971923828,87300,181.859,182.017,-0.16249719238280136,181.789
1366,1366,1366,2020-05-28 10:42:00-04:00,182.0800018310547,182.2700042724609,182.0800018310547,182.25,107700,181.926,182.097,-0.2709999999999866,181.818
