 ,Datetime,Open,High,Low,Close,Volume
2065,2020-06-01 10:57:00-04:00,182.2100067138672,182.25999450683597,182.1300048828125,182.2427978515625,27893
2066,2020-06-01 10:58:00-04:00,182.2400054931641,182.33999633789062,182.1999969482422,182.3300018310547,32352
2067,2020-06-01 10:59:00-04:00,182.31300354003903,182.3500061035156,182.1999969482422,182.3249969482422,54003
2068,2020-06-01 11:00:00-04:00,182.3300018310547,182.41000366210938,182.26499938964844,182.2700042724609,38238
2069,2020-06-01 11:01:00-04:00,182.2931060791016,182.2931060791016,182.1499938964844,182.2400054931641,40134
2070,2020-06-01 11:02:00-04:00,182.25,182.2749938964844,182.08999633789062,182.08999633789062,44326
2071,2020-06-01 11:03:00-04:00,182.0800018310547,182.1499938964844,181.9499969482422,181.9680938720703,48069
2072,2020-06-01 11:04:00-04:00,181.9949951171875,182.1000061035156,181.92999267578125,181.9499969482422,52280
2073,2020-06-01 11:05:00-04:00,181.9600067138672,182.0048065185547,181.8800048828125,181.91000366210938,53959
2074,2020-06-01 11:06:00-04:00,181.92999267578125,181.92999267578125,181.77999877929688,181.9199981689453,74075
2075,2020-06-01 11:07:00-04:00,181.91000366210938,182.0200042724609,181.91000366210938,181.9900054931641,34469
2076,2020-06-01 11:08:00-04:00,181.9900054931641,182.0800018310547,181.9900054931641,182.0800018310547,50959
2077,2020-06-01 11:09:00-04:00,182.0845947265625,182.1000061035156,182.0,182.0500030517578,56325
2078,2020-06-01 11:10:00-04:00,182.05999755859372,182.16000366210938,182.05999755859372,182.0780029296875,32823
2079,2020-06-01 11:11:00-04:00,182.07000732421875,182.1999969482422,182.05999755859372,182.1300048828125,46715
2080,2020-06-01 11:12:00-04:00,182.13999938964844,182.13999938964844,181.9600067138672,182.0399932861328,49145
2081,2020-06-01 11:13:00-04:00,182.0500030517578,182.1199951171875,181.97999572753903,182.0749969482422,31105
2082,2020-06-01 11:14:00-04:00,182.0800018310547,182.17999267578125,182.0800018310547,182.1000061035156,39472
2083,2020-06-01 11:15:00-04:00,182.1074066162109,182.1100006103516,182.0050048828125,182.0500030517578,45055
2084,2020-06-01 11:16:00-04:00,182.0500030517578,182.0500030517578,181.93670654296875,182.0399932861328,48475
2085,2020-06-01 11:17:00-04:00,182.0200042724609,182.1000061035156,181.9300994873047,181.9499969482422,66210
2086,2020-06-01 11:18:00-04:00,181.92999267578125,182.08999633789062,181.8999938964844,181.9600067138672,65177
2087,2020-06-01 11:19:00-04:00,181.9700927734375,181.9700927734375,181.8600006103516,181.91000366210938,57346
2088,2020-06-01 11:20:00-04:00,181.8999938964844,181.9900054931641,181.83999633789062,181.8600006103516,51761
2089,2020-06-01 11:21:00-04:00,181.8600006103516,181.94000244140625,181.8300018310547,181.8600006103516,36202
2090,2020-06-01 11:22:00-04:00,181.8500061035156,181.94000244140625,181.8000030517578,181.94000244140625,59856
